,evals,X,fX
0,0,"[ 3.83400675 -3.43445503 -0.75601418  4.79366684  9.32270107  2.368451
  2.70530185  4.0563694  -3.14709351  8.83628717]",[70.89049373]
1,1,"[-3.14919801e+00  3.83124424e+00  6.04546090e+00 -9.21476298e-01
  2.31109586e+00  6.09289359e+00  7.18067641e+00  3.00146337e-04
  9.01191361e+00  1.63114768e+00]",[74.76060694]
2,2,"[-1.61322111 -1.05371495  8.09113231  2.71059031  5.31580454  9.96512151
 -1.69386557  7.62663027  1.48392855  5.95932498]",[84.090862]
3,3,"[ 4.75987481  8.39893232 -4.26672322  7.47690875 -1.66887458 -0.03101123
  4.41454885  1.58974709 -0.89382449  0.46297969]",[25.18549115]
4,4,"[ 7.29130383  6.51383472  1.28829522 -2.0706216  -3.5940464  -2.06971674
 -3.18546344 -2.78220926  4.11756338 -4.15157911]",[53.10201916]
5,5,"[-2.88878816 -4.13457069 -3.70013581 -2.73167992  5.18829483  6.68811516
 -0.08323677  0.67466331  0.04016671  8.34759321]",[43.35405076]
6,6,"[ 0.93571279 -1.65139427  0.30107111  5.23546042 -2.97368276 -1.25061117
  7.939655    9.89624866  2.76539526  5.97900524]",[86.29354751]
7,7,"[ 8.59961876  4.69159907  8.18460788  2.85642569  8.42460255 -3.58960343
 -2.85177641  4.86397301  8.15038668  3.24750951]",[52.80239301]
8,8,"[ 6.63535657  7.30859008  1.27712167 -0.93786001  2.65544878  7.10087528
  6.9068853   1.96299172 -4.33621194 -1.57620829]",[28.64597198]
9,9,"[ 1.29177978  3.95212672  4.78102278  8.61106756 -0.65622148  1.29870727
  2.05693498 -3.59225248  6.52342039 -2.28605677]",[46.45630362]
10,10,"[ 7.09551679  7.49408247 -3.1355648   8.73168577  7.71367846 -2.19735801
  8.84189787  2.60689841  5.76972993  6.19036609]",[90.93132771]
11,11,"[ 4.93583499 -0.80533681  1.62953125 -4.44142098  6.83311717  3.21865239
  5.47137643  7.68224388 -1.23693055 -1.82591252]",[33.5711572]
12,12,"[-0.69675012 -4.06461235  0.08903047  2.13325552 -1.46118897  7.07403619
  1.20174889  6.03817832  2.36109053  8.60973763]",[36.9174004]
13,13,"[ 3.69001388  3.97101684  7.65069095  5.98923461 -4.21003287 -1.938047
 -2.72486404 -1.03994855 -3.84960832  2.76495134]",[40.96385576]
14,14,"[-2.50685463  5.88694553  6.61795197 -1.1793739   3.3941405   4.55690783
  0.85837497 -2.93753517  7.64652303 -2.15788823]",[48.04252378]
15,15,"[-1.34764852  0.24776325  9.19508127  4.13684391  1.62747109 -1.13925487
  3.03178992 -4.81088513 -0.33305227  7.02772022]",[52.20186521]
16,16,"[-2.50088571  6.9529883   0.11048435  1.5448936  -0.46281961  5.74134141
 -2.63737353 -0.18057362  7.65520856 -3.63449355]",[39.16610181]
17,17,"[ 6.63660923 -3.52319528 -2.85331653 -0.54152132 -2.87435555 -3.50557932
  9.53365024  7.58302667 -2.68002197  6.92277599]",[91.27888009]
18,18,"[ 9.58692933  3.34127995  3.95509684  9.26070882  4.01214432  7.8084383
  5.23147641  5.2846715   4.89352546 -0.79660298]",[76.00523096]
19,19,"[ 1.36197097  9.94209902  5.21836148 -3.29236772  8.03081651  3.36661833
 -0.76588276  2.07781425  2.19849673  1.90549263]",[78.55439567]
20,20,"[ 0.55790477 -3.69968308  0.4806111   8.5280262   4.25913094  8.98011959
  4.61978382  9.54182597 -2.95592261  1.53510205]",[115.01643053]
21,21,"[ 1.20957705  7.02906451  3.67614897 -4.59960437  0.33757592 -2.22450972
  3.14553625 -0.52754416  2.40849491 -2.35187213]",[22.66496135]
22,22,"[-3.53476982  5.24370246 -4.47766414  5.42586833  9.3509439  -0.33071172
 -4.52039875  4.4314881   8.94838909  8.61767079]",[111.11806489]
23,23,"[ 4.9770543   1.44104168  7.4796102  -1.61176299  2.73676716  1.27678051
  0.73163417 -4.75108476  0.40113539  6.6313929 ]",[16.05753476]
24,24,"[ 7.28037837 -0.72108236  5.41966202  2.74059132 -2.85126748  4.08120695
  9.19419202  3.30089052  4.02929931 -1.0751415 ]",[65.75099394]
25,25,"[-4.70115521  9.8359046   9.60846559  8.36248719  4.98010265  4.69823239
  8.84339412  7.09922377 -1.95318181  2.28638717]",[168.7118489]
26,26,"[ 4.20422222 -1.24417704 -4.33651725 -1.24042642 -1.60683431  7.03610867
  4.34645289 -3.14455922  9.92276864  6.971035  ]",[83.28995772]
27,27,"[ 8.22716229 -4.51113672  5.91628527 -3.52908396  9.96822933 -4.80408738
  3.34970331  1.86519549 -4.27574414  8.98751371]",[90.29164405]
28,28,"[ 1.73818955  5.99757735  2.55192555  2.27226697 -3.33593657 -1.13884544
 -2.88027588 -0.75542939  5.08163668 -2.51402926]",[45.67692257]
29,29,"[ 0.77490074  1.13802193 -1.30211902  5.04555811  3.44489944  3.95647428
  0.90691511  6.71484504  1.8896688   0.97603373]",[24.95146785]
30,30,"[ 4.44648791 -1.60444389  6.12375239  9.12721634  5.83524524  0.01572105
  2.34254761 -2.91176849 -3.86502157 -1.69990385]",[86.3233028]
31,31,"[ 3.88077035 -4.78269666 -1.94209818  0.93871976 -1.55456574  7.77610697
  4.64658643  8.7397372   6.92725506  7.8190267 ]",[60.34916072]
32,32,"[ 0.91022522  4.07649205  9.66413112 -2.87417349  1.83332102  6.68458958
 -4.92043234 -0.12309015  7.98862813 -2.09863661]",[87.14887169]
33,33,"[ 7.50572921  3.70444896  1.98980695  6.66769997  8.53735498 -3.46811328
 -0.83951854  5.59026681  0.83412244  3.67858674]",[52.38100593]
34,34,"[-2.9686568   8.91708215 -3.35491599  1.81804935 -4.55519407  3.56890893
  8.9051704   1.89893048  2.38065912  4.07358219]",[70.99927403]
35,35,"[-0.44014288  3.08186923 -4.7273428   1.6832785   8.23090469  5.86988402
  0.66088234  8.8564785  -1.59961559  3.9417404 ]",[62.58069323]
36,36,"[-2.3846428   8.50816228  3.76704395 -0.37585762  6.7699182   3.48969211
  3.90485923  3.75934843  4.10810145  4.52431601]",[31.7071024]
37,37,"[ 8.16740403 -2.14357191  4.90008676 -4.51859707  0.658914   -0.66081675
  6.72362678 -4.5193086   2.98335253 -3.67920874]",[35.4033062]
38,38,"[ 4.22946031  6.08938943 -1.25780373  4.11884657  1.17983289 -4.81676439
 -2.27680113  0.21965175  9.69418707  0.01774693]",[85.182375]
39,39,"[ 2.58681979 -1.08666091  9.99388675  8.08656718 -3.58805315  8.13473552
  9.93858079  4.52397516 -4.016036    9.041046  ]",[135.51157961]
40,40,"[-1.58824595 -1.218114    0.61324772  7.53823021  2.2998362  -4.02464627
  2.75021256  9.8094043   9.82234498  7.1575245 ]",[118.96019739]
41,41,"[ 5.78863336  3.6754029  -2.6572066  -4.36539831  6.29498334  4.56718798
  6.69627876  1.0267938  -4.72930106  2.8575484 ]",[48.39222443]
42,42,"[ 8.1473203   7.28968864  9.95479992  6.68974377 -4.18665982 -0.58042986
 -0.56073839 -3.47482883  6.90177792 -1.70012445]",[90.64313665]
43,43,"[ 1.11895137 -3.54888062  5.37477704 -1.29421147 -1.82338915  7.37153325
  9.57026574  5.19900212 -0.85580854  4.06592091]",[90.64028062]
44,44,"[-3.87574189  5.98482187  2.8760746   3.74197365  9.0153829   1.97224807
 -4.05134004  0.49994742  3.32740966 -4.1565411 ]",[57.93291598]
45,45,"[-1.92516583 -4.56714171 -3.4587208  -4.3320262  -3.89153092  1.16532183
  0.73359148 -2.34514432 -2.30816878 -4.00342734]",[32.15605308]
46,46,"[-2.86121944  5.28083023  7.9050774  -1.78876751  8.26553355 -3.83504119
  1.48118061  5.05062178 -1.71314035  3.6133076 ]",[45.23137311]
47,47,"[ 9.00277992  7.57815393  3.75427585  2.73904268 -0.63230469  8.92705525
  7.76207569  2.65323745  7.39570975 -1.39845196]",[43.33251006]
48,48,"[ 5.54216342 -1.70751985  6.5555611   5.18663149  1.69923347  5.75629622
  6.24050912 -0.17303416  2.73703362  4.51029892]",[63.1613014]
49,49,"[ 3.05908615  3.93040541 -0.17422008  7.98513685  6.40807642  0.50909208
 -3.75416016  8.24682478  6.80985132  9.16655207]",[49.29558956]
